hotel_name,hotel_class,hotel_room_price,ta_rating,ta_location,ta_cleanliness,ta_service,ta_value,review_count,url
Mabolo Royal Hotel,3.0,0,3.0,4.5,4.0,0,0,26,/Hotel_Review-g298460-d12677345-Reviews-Mabolo_Royal_Hotel-Cebu_City_Cebu_Island_Visayas.html
Elegant Circle Inn,3.0,"1,080",3.0,4.0,3.0,3.0,3.0,117,/Hotel_Review-g298460-d1229471-Reviews-Elegant_Circle_Inn-Cebu_City_Cebu_Island_Visayas.html
Golden Valley Hotel,2.5,"1,271",3.0,4.0,3.5,3.5,4.0,61,/Hotel_Review-g298460-d1469079-Reviews-Golden_Valley_Hotel-Cebu_City_Cebu_Island_Visayas.html
La Florentina Pensionne,2.5,0,0,0,0,0,0,36,/Hotel_Review-g298460-d1205688-Reviews-La_Florentina_Pensionne-Cebu_City_Cebu_Island_Visayas.html
Naps x Adventures,2.0,0,3.0,4.0,3.5,3.5,0,9,/Hotel_Review-g298460-d12349487-Reviews-Naps_x_Adventures-Cebu_City_Cebu_Island_Visayas.html
The Partridge Guest House,2.5,0,4.5,5.0,5.0,5.0,0,2,/Hotel_Review-g298460-d15146962-Reviews-The_Partridge_Guest_House-Cebu_City_Cebu_Island_Visayas.html
New Era Pension Inn Cebu,2.5,"1,291",3.5,4.5,4.0,4.0,4.0,25,/Hotel_Review-g298460-d3203611-Reviews-New_Era_Pension_Inn_Cebu-Cebu_City_Cebu_Island_Visayas.html
Honeybee Royal Inn,3.5,850,4.0,0,0,0,0,1,/Hotel_Review-g298460-d6027988-Reviews-Honeybee_Royal_Inn-Cebu_City_Cebu_Island_Visayas.html
Island Breeze Hostel - Cebu Central,2.0,0,5.0,0,0,0,0,1,/Hotel_Review-g298460-d13438411-Reviews-Island_Breeze_Hostel_Cebu_Central-Cebu_City_Cebu_Island_Visayas.html
The Padgett Place,3.0,0,3.0,5.0,5.0,0,0,6,/Hotel_Review-g298460-d12412160-Reviews-The_Padgett_Place-Cebu_City_Cebu_Island_Visayas.html
Teo-Fel Pension House,2.5,0,3.0,3.5,3.5,3.5,4.5,0,/Hotel_Review-g298460-d1854932-Reviews-Teo_Fel_Pension_House-Cebu_City_Cebu_Island_Visayas.html
Cebu Budgetel - IT Park City Center,2.0,0,4.0,0,0,0,0,2,/Hotel_Review-g298460-d13441035-Reviews-Cebu_Budgetel_IT_Park_City_Center-Cebu_City_Cebu_Island_Visayas.html
Sta. Barbara Suites,3.0,0,3.5,3.0,3.0,3.0,0,4,/Hotel_Review-g298460-d2715757-Reviews-Sta_Barbara_Suites-Cebu_City_Cebu_Island_Visayas.html
White Knight Hotel Cebu,3.0,"1,270",3.0,5.0,5.0,0,0,2,/Hotel_Review-g298460-d666232-Reviews-White_Knight_Hotel_Cebu-Cebu_City_Cebu_Island_Visayas.html
Allsons Inn,3.0,951,3.0,3.0,3.5,3.0,3.5,47,/Hotel_Review-g298460-d1049152-Reviews-Allsons_Inn-Cebu_City_Cebu_Island_Visayas.html
Crown Regency Residences,3.0,0,2.5,2.5,3.0,3.0,2.5,78,/Hotel_Review-g298460-d661038-Reviews-Crown_Regency_Residences-Cebu_City_Cebu_Island_Visayas.html
8th Street Guesthouse,2.0,720,3.0,0,0,0,0,4,/Hotel_Review-g298460-d10548033-Reviews-8th_Street_Guesthouse-Cebu_City_Cebu_Island_Visayas.html
8th Street Hostel,2.0,750,2.5,3.0,0,0,0,3,/Hotel_Review-g298460-d15339376-Reviews-8th_Street_Hostel-Cebu_City_Cebu_Island_Visayas.html
Resort Cebu,3.0,"1,040",4.0,1.0,3.0,4.0,1.0,6,/Hotel_Review-g298460-d7934759-Reviews-Resort_Cebu-Cebu_City_Cebu_Island_Visayas.html
San Remo Oasis,3.0,0,2.0,4.0,4.0,3.0,0,3,/Hotel_Review-g298460-d13149237-Reviews-San_Remo_Oasis-Cebu_City_Cebu_Island_Visayas.html
Cebu Rooms- Condotel,2.0,0,0,0,0,0,0,63,/Hotel_Review-g298460-d15664621-Reviews-Cebu_Rooms_Condotel-Cebu_City_Cebu_Island_Visayas.html
Fely Ann Residences at Express Inn,3.0,0,0,0,0,0,0,26,/Hotel_Review-g298460-d6558144-Reviews-Fely_Ann_Residences_at_Express_Inn-Cebu_City_Cebu_Island_Visayas.html
Pantawan Guesthouse,2.5,"1,034",2.0,0,0,0,0,1,/Hotel_Review-g298460-d14972963-Reviews-Pantawan_Guesthouse-Cebu_City_Cebu_Island_Visayas.html
Kiwi South,2.5,0,0.0,0,0,0,0,1,/Hotel_Review-g298460-d13838955-Reviews-Kiwi_South-Cebu_City_Cebu_Island_Visayas.html
Ancelle Cristo Re,2.0,0,0,0,0,0,0,20,/Hotel_Review-g298460-d14040478-Reviews-Ancelle_Cristo_Re-Cebu_City_Cebu_Island_Visayas.html
Geliz Bed and Bath,3.0,0,0,0,0,0,0,19,/Hotel_Review-g298460-d14006575-Reviews-Geliz_Bed_and_Bath-Cebu_City_Cebu_Island_Visayas.html
Goland Pension House,3.0,900,0,0,0,0,0,19,/Hotel_Review-g298460-d13353942-Reviews-Goland_Pension_House-Cebu_City_Cebu_Island_Visayas.html
Ikiru Comfy Rooms,2.0,0,0,0,0,0,0,63,/Hotel_Review-g298460-d15067157-Reviews-Ikiru_Comfy_Rooms-Cebu_City_Cebu_Island_Visayas.html
Metro Park Hotel,2.0,887,3.0,3.0,3.0,3.0,3.5,66,/Hotel_Review-g298460-d563052-Reviews-Metro_Park_Hotel-Cebu_City_Cebu_Island_Visayas.html
