hotel_name,hotel_class,hotel_room_price,ta_rating,ta_location,ta_cleanliness,ta_service,ta_value,review_count,url
The Yellow House,2.5,0,0,0,0,0,0,61,/Hotel_Review-g1066348-d13563555-Reviews-The_Yellow_House-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Marick Beach Resort,3.0,0,0,0,0,0,0,0,/Hotel_Review-g1598851-d15118483-Reviews-Marick_Beach_Resort-Carmen_Bohol_Island_Bohol_Province_Visayas.html
Spinning Cat Hostel,2.0,0,0,0,0,0,0,33,/Hotel_Review-g1066348-d15619767-Reviews-Spinning_Cat_Hostel-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
East Coast White Sand Resort & Recreation Center,3.0,0,4.5,4.5,4.5,4.5,4.5,89,/Hotel_Review-g1872021-d3671158-Reviews-East_Coast_White_Sand_Resort_Recreation_Center-Anda_Bohol_Island_Bohol_Province_Visay.html
La Petra Beach Resort,3.0,"2,232",3.5,4.0,3.5,3.5,3.5,71,/Hotel_Review-g1872021-d1840408-Reviews-La_Petra_Beach_Resort-Anda_Bohol_Island_Bohol_Province_Visayas.html
Bohol Sunset Villa,3.0,0,4.0,4.0,4.5,4.0,4.5,45,/Hotel_Review-g1066348-d7135928-Reviews-Bohol_Sunset_Villa-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Open Doors Haven,2.5,0,0,0,0,0,0,7,/Hotel_Review-g1066348-d12520586-Reviews-Open_Doors_Haven-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Villa Tarcela Resort,3.0,0,5.0,4.5,5.0,4.5,5.0,12,/Hotel_Review-g294259-d1759182-Reviews-Villa_Tarcela_Resort-Bohol_Island_Bohol_Province_Visayas.html
VAA Bistro Bed and Breakfast,4.0,0,4.5,2.0,5.0,5.0,4.0,2,/Hotel_Review-g294259-d4106279-Reviews-VAA_Bistro_Bed_and_Breakfast-Bohol_Island_Bohol_Province_Visayas.html
Hilltop Cottage Resort,2.5,0,4.0,4.0,4.5,4.0,4.0,5,/Hotel_Review-g294259-d4324760-Reviews-Hilltop_Cottage_Resort-Bohol_Island_Bohol_Province_Visayas.html
Newport Oak Pension Inn,3.5,0,0,0,0,0,0,1,/Hotel_Review-g1066348-d12830805-Reviews-Newport_Oak_Pension_Inn-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Visayas Breeze Resort,0,0,3.5,4.5,4.5,4.0,3.5,8,/Hotel_Review-g294259-d1408045-Reviews-Visayas_Breeze_Resort-Bohol_Island_Bohol_Province_Visayas.html
Happy Time Bohol Guest House,0,0,2.5,3.0,2.5,3.5,4.0,7,/Hotel_Review-g1066348-d10832161-Reviews-Happy_Time_Bohol_Guest_House-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Backpackers Place in Seaviewhills Bohol,2.0,0,0,0,0,0,0,130,/Hotel_Review-g1066348-d17522525-Reviews-Backpackers_Place_in_Seaviewhills_Bohol-Tagbilaran_City_Bohol_Island_Bohol_Province_.html
Bohol Avenue Hotel,2.5,0,0,0,0,0,0,17,/Hotel_Review-g1066348-d12697280-Reviews-Bohol_Avenue_Hotel-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Bohol Paradise Hills Resort and Hotel,4.0,0,0,0,0,0,0,83,/Hotel_Review-g294259-d11954682-Reviews-Bohol_Paradise_Hills_Resort_and_Hotel-Bohol_Island_Bohol_Province_Visayas.html
Bohol Son's Guest House,2.5,0,0,0,0,0,0,145,/Hotel_Review-g1066348-d16855287-Reviews-Bohol_Son_s_Guest_House-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Lanao Love Guesthouse,3.0,0,0,0,0,0,0,100,/Hotel_Review-g1066348-d12329812-Reviews-Lanao_Love_Guesthouse-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Sarmiento Guesthouse,2.5,0,0,0,0,0,0,38,/Hotel_Review-g1066348-d15189304-Reviews-Sarmiento_Guesthouse-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Banlasan Lodge,0,0,3.5,4.5,3.5,4.5,5.0,18,/Hotel_Review-g1598851-d1759048-Reviews-Banlasan_Lodge-Carmen_Bohol_Island_Bohol_Province_Visayas.html
Holy Trinity Pension House & Resort,0,0,4.5,4.5,5.0,4.5,5.0,10,/Hotel_Review-g1573340-d4572662-Reviews-Holy_Trinity_Pension_House_Resort-Talibon_Bohol_Island_Bohol_Province_Visayas.html
Ligaya's Pension House,0,0,4.0,3.5,3.5,4.0,4.0,7,/Hotel_Review-g294259-d1759165-Reviews-Ligaya_s_Pension_House-Bohol_Island_Bohol_Province_Visayas.html
Anda Global Beach Resort,0,0,3.5,5.0,4.5,5.0,0,8,/Hotel_Review-g1872021-d3671142-Reviews-Anda_Global_Beach_Resort-Anda_Bohol_Island_Bohol_Province_Visayas.html
Flower Beach Scuba Diving Resort,0,0,3.5,5.0,4.0,4.0,3.5,18,/Hotel_Review-g1872021-d2173687-Reviews-Flower_Beach_Scuba_Diving_Resort-Anda_Bohol_Island_Bohol_Province_Visayas.html
J and N Lodge,0,0,5.0,5.0,5.0,5.0,5.0,2,/Hotel_Review-g294259-d1759171-Reviews-J_and_N_Lodge-Bohol_Island_Bohol_Province_Visayas.html
Lindsey's Inn,0,0,4.0,4.5,4.0,4.0,4.0,4,/Hotel_Review-g1573340-d1552440-Reviews-Lindsey_s_Inn-Talibon_Bohol_Island_Bohol_Province_Visayas.html
Arbilla Gardens Pension House,2.5,0,3.5,4.0,4.5,0,0,5,/Hotel_Review-g294259-d8571671-Reviews-Arbilla_Gardens_Pension_House-Bohol_Island_Bohol_Province_Visayas.html
Domene Kaw Pension House,0,0,3.5,4.0,3.5,3.5,3.0,14,/Hotel_Review-g1439399-d1759057-Reviews-Domene_Kaw_Pension_House-Jagna_Bohol_Island_Bohol_Province_Visayas.html
Anda Longbeach Resort,4.0,0,4.5,5.0,3.0,4.0,0,2,/Hotel_Review-g1872021-d3671148-Reviews-Anda_Longbeach_Resort-Anda_Bohol_Island_Bohol_Province_Visayas.html
Prince and Princess Pension House,0,0,4.5,5.0,4.5,5.0,0,0,/Hotel_Review-g8699174-d8594369-Reviews-Prince_and_Princess_Pension_House-Jetafe_Bohol_Island_Bohol_Province_Visayas.html
